ClustGroup,ClustPop,F_LOC_ID,OrigArea,Region,geometry
1,107,LOC3389071,25107.616900018416,Broads,"list(list(c(647857.94, 647848.22, 647849.3, 647864.2, 647875, 647876.13, 647877.06, 647877.3, 647880.2, 647889.1, 647896.2, 647903.9, 647912.3, 647919.9, 647927.8, 647936.2, 647945.2, 647953.3, 647960.7, 647967.8, 647974.3, 647979.3, 647992.4, 647998.5, 648000, 648003.86, 648006.76, 648006.76, 648000, 647998.69, 647995.2, 647981.7, 647964.5, 647963.5, 647959.8, 647955.1, 647858.07, 647857.94, 291530.59, 291531.810000001, 291535.92, 291634.619999999, 291710.720000001, 291719.220000001, 291726.210000001, 
291728.02, 291728.220000001, 291725.119999999, 291724.32, 291724.82, 291726.52, 291728.720000001, 291731.720000001, 291735.720000001, 291740.52, 291745.32, 291750.720000001, 291757.52, 291764.220000001, 291770.82, 291791.82, 291800.77, 291802.470000001, 291805.880000001, 291808.98, 291808.08, 291772.220000001, 291763.65, 291743.02, 291650.32, 291529.800000001, 291522.82, 291523.220000001, 291523.720000001, 291534.91, 291530.59)))"
1,107,LOC3389074,23840.439600015467,Broads,"list(list(c(647848.22, 647857.94, 647954.5, 647959.5, 647961.9, 647958.87, 647957.78, 647951, 647930.79, 647927.39, 647922.56, 647827.29, 647814.79, 647844.3, 647847.99, 647848.22, 291531.810000001, 291530.59, 291520.52, 291520.02, 291519.720000001, 291499.439999999, 291492.130000001, 291446.720000001, 291315.93, 291316.23, 291316.630000001, 291326.029999999, 291327.43, 291507.32, 291530.93, 291531.810000001)))"
1,107,LOC3389125,29240.520864927443,Broads,"list(list(c(648970.01686423, 648996.906449736, 649000, 649015.009300363, 649036.589937009, 649063.370000001, 649086.26, 649086.720000001, 649113.960000001, 649135.459999999, 649098.760000001, 649058.260000001, 649059.760000001, 649059.380000001, 649042.77, 649041.670000001, 649037.680000002, 649000, 648983.760000001, 648983.080000001, 648971.360000002, 648970.01686423, 292054.147512291, 292062.682879478, 292063.640000002, 292068.42913679, 292075.27932263, 292083.560000002, 292001.58, 292000.000000002, 
291907.279999999, 291834.58, 291806.380000001, 291774.480000004, 291772.58, 291771.48, 291760.070000002, 291759.180000002, 291772.890000001, 291925.350000001, 291997.580000002, 292000.000000002, 292048.680000002, 292054.147512291)))"
1,107,LOC3389126,19705.789450172335,Broads,"list(list(c(648929.04, 648942.73, 648990.14, 649000, 649006.26, 649009.37, 649012.31, 649010.77, 649028.36, 649076.9, 649076.45, 649076.45, 649077.96, 649006.49, 649002.25, 649000, 648988.92, 648983.02, 648950.82, 648929.04, 292573.439999999, 292577.17, 292582.390000001, 292583.539999999, 292584.279999999, 292584.58, 292571.5, 292571.279999999, 292515.24, 292362.57, 292361.27, 292360.17, 292354.609999999, 292331.85, 292330.5, 292338.279999999, 292371.939999999, 292392.539999999, 292499.939999999, 
292573.439999999)))"
1,107,LOC3389127,22754.3595500316,Broads,"list(list(c(648771.76, 648773.76, 648798.96, 648816.36, 648818.16, 648821.46, 648824.36, 648827.65, 648840.6, 648843.2, 648847.4, 648851.9, 648852.2, 648868.5, 648902.1, 648910.5, 648924.5, 648930.2, 648933.2, 648934.1, 648935.3, 648936.5, 648937.3, 648938.5, 648938.9, 648944.85, 648954.75, 648955.95, 648956.95, 648957.05, 648958.95, 648976.5, 648981.6, 649000, 649015.66, 649000, 648960.32, 648958.42, 648957.82, 648957.32, 648957.12, 648957.12, 648942.5, 648941.6, 648940.1, 648939.7, 648939.1, 648938.8, 
648938.7, 648938.07, 648936.93, 648937.98, 648939.83, 648942.38, 648943.76, 648943.86, 648943.86, 648943.96, 648943.86, 648943.66, 648942.66, 648942.26, 648941.86, 648941.76, 648941.36, 648941.06, 648940.66, 648940.36, 648939.26, 648935.66, 648928.66, 648926.36, 648925.46, 648923.26, 648921.16, 648919.76, 648917.26, 648915.76, 648914.86, 648913.46, 648910.76, 648907.56, 648905.26, 648902.66, 648898.86, 648897.76, 648896.46, 648895.76, 648895.26, 648894.56, 648893.26, 648883.46, 648884.98, 648883.11, 
648868.21, 648843.95, 648837.34, 648826.38, 648824.39, 648821.7, 648819.1, 648817.12, 648815.08, 648813.87, 648807.06, 648803.76, 648797.86, 648790.16, 648775.26, 648765.67, 648771.76, 292953.779999999, 292951.98, 292975.68, 292991.380000001, 292992.779999999, 292995.779999999, 292997.779999999, 293000, 293010, 293012.5, 293016, 293019.199999999, 293019.4, 293032, 293057.1, 293062.6, 293071.5, 293075.199999999, 293077.4, 293078, 293079, 293080.199999999, 293081.300000001, 293083.300000001, 293084, 
293099.380000001, 293121.279999999, 293124.08, 293126.58, 293126.779999999, 293129.48, 293155.1, 293152.9, 293133.199999999, 293118.4, 293108.199999999, 293081.02, 293079.92, 293079.52, 293079.02, 293078.42, 293068.619999999, 293040, 293038.5, 293035.800000001, 293034.800000001, 293033, 293030.6, 293029.199999999, 293025.68, 293016.390000001, 293008.15, 293000, 292994.109999999, 292984.380000001, 292982.68, 292982.380000001, 292980.48, 292978.98, 292977.380000001, 292972.98, 292965.779999999, 292955.08, 
292953.08, 292952.279999999, 292951.98, 292951.779999999, 292951.48, 292950.779999999, 292949.08, 292946.779999999, 292946.08, 292945.779999999, 292944.48, 292943.380000001, 292942.48, 292940.68, 292939.48, 292938.779999999, 292937.779999999, 292934.98, 292931.98, 292929.68, 292926.880000001, 292921.98, 292920.48, 292918.380000001, 292917.279999999, 292916.08, 292914.18, 292911.279999999, 292877.779999999, 292877.460000001, 292870.869999999, 292874.779999999, 292880.34, 292881.810000001, 292884.449999999, 
292885.609999999, 292886.439999999, 292887.300000001, 292888.140000001, 292889.039999999, 292889.9, 292896.68, 292901.68, 292909.279999999, 292919.58, 292936.779999999, 292947.890000001, 292953.779999999)))"
1,107,LOC3389143,27391.992000040133,Broads,"list(list(c(648884.98, 648885.86, 648895.06, 648896.46, 648896.56, 648896.86, 648896.96, 648897.56, 648898.06, 648899.16, 648901.46, 648902.66, 648904.76, 648906.46, 648910.26, 648911.76, 648913.56, 648913.66, 648915.06, 648915.96, 648924.66, 648927.16, 648929.76, 648930.76, 648932.46, 648934.06, 648934.16, 648935.46, 648936.66, 648938.16, 648941.26, 648941.56, 648942.36, 648942.56, 648942.86, 648943.06, 648943.16, 648943.36, 648943.86, 648944.46, 648945.16, 648945.96, 648946.26, 648946.36, 648946.06, 
648945.96, 648944.5, 648942.47, 648940.73, 648940.35, 648941.2, 648941.1, 648941.3, 648941.7, 648941.9, 648942.5, 648943.4, 648943.5, 648959.32, 648960.32, 648960.32, 648960.22, 648960.22, 648960.12, 648960.22, 648960.42, 648960.62, 648961.22, 648963.42, 649000, 649017.16, 649024.53, 649095.7, 649097.68, 649096.88, 649095.28, 649093.98, 649092.98, 649091.98, 649091.78, 649090.58, 649080.68, 649073.98, 649070.58, 649068.36, 649061.18, 649058.98, 649057.18, 649056.18, 649041.08, 649038.98, 649037.58, 
649036.58, 649031.38, 649026.58, 649011.28, 649008.88, 649006.98, 649001.98, 649000, 648981.61, 648981.01, 648980.41, 648979.11, 648978.91, 648978.51, 648977.71, 648977.31, 648974.71, 648971.61, 648966.51, 648963.41, 648961.41, 648959.31, 648956.81, 648947.11, 648943.61, 648940.71, 648938.91, 648938.31, 648936.41, 648936.21, 648932.71, 648928.51, 648919.31, 648914.31, 648883.11, 648884.98, 292877.460000001, 292877.279999999, 292907.58, 292910.68, 292911.58, 292912.58, 292913.08, 292914.279999999, 
292914.98, 292916.48, 292920.18, 292921.880000001, 292924.18, 292925.880000001, 292930.18, 292931.98, 292933.98, 292934.08, 292934.98, 292935.48, 292941.08, 292942.58, 292943.880000001, 292944.279999999, 292944.68, 292944.98, 292945.08, 292945.48, 292945.98, 292947.18, 292948.880000001, 292949.08, 292949.68, 292949.98, 292950.380000001, 292950.68, 292951.08, 292952.380000001, 292956.68, 292965.279999999, 292971.279999999, 292979.18, 292980.779999999, 292981.98, 292983.68, 292984.279999999, 292994.539999999, 
293000, 293011.449999999, 293019.43, 293026.1, 293028, 293030, 293032, 293032.9, 293034.699999999, 293036.4, 293036.6, 293067.32, 293075.42, 293076.220000001, 293076.619999999, 293076.82, 293077.119999999, 293077.52, 293077.720000001, 293078.02, 293078.42, 293079.92, 293105, 293116.4, 293107.859999999, 293029.48, 293024.65, 293024.92, 293025.220000001, 293025.220000001, 293025.02, 293024.619999999, 293024.52, 293023.619999999, 293015.029999999, 293007.43, 293002.73, 293000, 292991.130000001, 292988.029999999, 
292984.33, 292982.83, 292969.83, 292967.33, 292965.029999999, 292963.029999999, 292950.43, 292937.73, 292899.23, 292892.83, 292889.029999999, 292881.83, 292878.140000001, 292847.279999999, 292846.58, 292845.98, 292845.58, 292845.58, 292845.48, 292845.48, 292845.58, 292846.48, 292847.880000001, 292849.08, 292850.380000001, 292850.779999999, 292851.380000001, 292851.98, 292854.08, 292854.68, 292855.08, 292855.48, 292855.68, 292856.18, 292856.18, 292857.48, 292858.98, 292861.279999999, 292862.68, 292870.869999999, 
292877.460000001)))"
1,107,LOC3389145,41110.71424996518,Broads,"list(list(c(648318.86, 648317.56, 648316.46, 648320.16, 648319.66, 648319.06, 648330.76, 648332.06, 648333.86, 648335.36, 648335.86, 648336.46, 648338.16, 648339.96, 648340.16, 648341.16, 648342.16, 648342.46, 648345.96, 648392.96, 648393.66, 648395.36, 648396.46, 648397.06, 648397.56, 648398.06, 648398.66, 648399.06, 648401.66, 648405.36, 648405.76, 648406.76, 648407.26, 648407.96, 648408.76, 648410.16, 648410.86, 648411.56, 648412.36, 648414.06, 648415.46, 648416.66, 648416.86, 648417.16, 648417.96, 
648418.86, 648419.26, 648419.46, 648420.06, 648420.76, 648421.26, 648421.96, 648423.36, 648423.56, 648424.16, 648424.66, 648425.96, 648426.16, 648426.96, 648427.86, 648428.26, 648429.16, 648429.96, 648430.66, 648432.56, 648437.96, 648440.16, 648441.16, 648441.26, 648442.56, 648443.76, 648444.16, 648444.46, 648447.02, 648447.62, 648448.72, 648450.32, 648456.52, 648464.62, 648468.02, 648470.72, 648473.62, 648476.22, 648480.42, 648483.32, 648484.52, 648485.52, 648487.02, 648488.32, 648491.32, 648497.22, 
648507.72, 648513.62, 648514.72, 648516.22, 648518.33, 648520.52, 648523.62, 648531.65, 648535.62, 648536.22, 648539.41, 648542.97, 648547.26, 648552.36, 648552.76, 648553.96, 648554.16, 648555.76, 648558.96, 648563.16, 648568.7, 648566.3, 648563.1, 648564.32, 648564.42, 648564.32, 648564.32, 648564.42, 648564.72, 648565.32, 648565.62, 648565.62, 648565.22, 648565.32, 648565.52, 648565.52, 648565.62, 648565.82, 648566.22, 648567.02, 648571.82, 648573.02, 648573.72, 648575.02, 648575.32, 648576.32, 
648576.42, 648577.92, 648579.02, 648579.92, 648581.62, 648582.72, 648585.02, 648589.82, 648598.12, 648609.32, 648613.12, 648613.52, 648616.76, 648617.06, 648617.16, 648617.26, 648617.26, 648600.56, 648512.66, 648460.16, 648426.33, 648424.13, 648423.93, 648423.03, 648422.93, 648422.63, 648421.73, 648421.63, 648421.43, 648421.33, 648418.63, 648412.83, 648409.73, 648407.93, 648407.03, 648404.93, 648368.23, 648365.33, 648363.93, 648363.33, 648361.63, 648360.23, 648358.53, 648357.13, 648356.63, 648355.43, 
648355.13, 648351.73, 648344.63, 648338.03, 648331.73, 648328.43, 648320.23, 648318.86, 292511.76, 292517.880000001, 292520.68, 292522.48, 292525.48, 292529.68, 292540.880000001, 292542.279999999, 292543.880000001, 292544.779999999, 292544.98, 292545.18, 292545.58, 292546.18, 292546.279999999, 292546.48, 292546.48, 292546.380000001, 292545.68, 292535.68, 292535.48, 292535.279999999, 292535.380000001, 292535.48, 292535.58, 292535.779999999, 292535.98, 292536.18, 292538.18, 292540.98, 292541.279999999, 
292542.380000001, 292543.08, 292544.48, 292545.880000001, 292548.68, 292549.98, 292551.18, 292552.48, 292555.58, 292556.880000001, 292558.779999999, 292559.08, 292559.58, 292560.58, 292561.48, 292561.779999999, 292561.98, 292562.48, 292562.98, 292563.279999999, 292563.779999999, 292564.58, 292564.68, 292565.08, 292565.380000001, 292566.279999999, 292566.380000001, 292567.08, 292567.68, 292567.98, 292568.68, 292569.380000001, 292570.08, 292571.279999999, 292576.279999999, 292578.68, 292580.08, 292580.18, 
292581.18, 292582.08, 292582.279999999, 292582.380000001, 292585.02, 292585.42, 292586.42, 292588.02, 292593.720000001, 292600.619999999, 292604.02, 292606.42, 292608.42, 292610.220000001, 292612.92, 292615.619999999, 292616.52, 292617.220000001, 292617.82, 292618.119999999, 292618.720000001, 292619.52, 292620.220000001, 292620.220000001, 292620.119999999, 292620.02, 292619.699999999, 292619.16, 292617.699999999, 292612.859999999, 292610.02, 292609.619999999, 292606.65, 292603.279999999, 292597.98, 
292594.039999999, 292593.539999999, 292592.640000001, 292592.539999999, 292591.539999999, 292590.140000001, 292588.140000001, 292585.609999999, 292579.33, 292579.029999999, 292564.18, 292562.380000001, 292560.18, 292557.279999999, 292556.880000001, 292555.779999999, 292548.880000001, 292547.48, 292542.68, 292538.48, 292535.98, 292533.58, 292533.279999999, 292532.880000001, 292532.48, 292531.880000001, 292531.08, 292527.880000001, 292526.98, 292526.380000001, 292524.779999999, 292524.380000001, 292522.779999999, 
292522.58, 292519.880000001, 292517.880000001, 292516.58, 292514.279999999, 292512.98, 292510.779999999, 292506.48, 292500.380000001, 292493.880000001, 292491.98, 292491.68, 292490.279999999, 292489.98, 292489.68, 292489.48, 292489.08, 292478.58, 292423.08, 292389.58, 292368.109999999, 292368.01, 292368.01, 292368.310000001, 292368.41, 292368.51, 292369.41, 292369.609999999, 292369.91, 292370.310000001, 292373.16, 292379.310000001, 292382.710000001, 292384.210000001, 292385.01, 292387.01, 292418.710000001, 
292421.310000001, 292422.810000001, 292423.609999999, 292425.91, 292427.609999999, 292430.01, 292432.210000001, 292433.109999999, 292435.710000001, 292436.41, 292442.210000001, 292455.710000001, 292469.01, 292482.609999999, 292490.01, 292512.109999999, 292511.76)))"
1,107,LOC3389146,26371.303249990568,Broads,"list(list(c(648429.6, 648443.36, 648480.86, 648486.72, 648597.46, 648597.86, 648598.36, 648598.46, 648598.66, 648598.76, 648598.66, 648598.06, 648596.86, 648596.36, 648596.26, 648596.36, 648596.76, 648600.16, 648609.86, 648638.96, 648637.66, 648574.36, 648569.98, 648566.66, 648565.51, 648558.68, 648558.76, 648558.76, 648558.86, 648558.86, 648558.76, 648558.66, 648558.46, 648558.26, 648557.36, 648556.46, 648528.26, 648502.36, 648486.26, 648470.16, 648452.66, 648437.46, 648434.04, 648429.6, 292368.01, 
292376.68, 292399.68, 292403.35, 292472.779999999, 292471.98, 292470.48, 292470.08, 292468.48, 292466.779999999, 292466.380000001, 292462.48, 292454.880000001, 292452.18, 292451.380000001, 292450.58, 292449.48, 292438.58, 292408.380000001, 292315.779999999, 292314.58, 292228.48, 292222.699999999, 292225.98, 292224.939999999, 292231.33, 292231.779999999, 292232.48, 292233.08, 292233.68, 292234.18, 292234.779999999, 292235.380000001, 292235.880000001, 292236.98, 292237.98, 292265.98, 292292.68, 292308.779999999, 
292325.779999999, 292343.08, 292360.58, 292361.01, 292368.01)))"
1,107,LOC3389147,16206.760350031604,Broads,"list(list(c(648992.76, 648993.25, 648994.08, 648986.48, 648983.68, 648983.89, 648980.61, 648982.11, 648983.51, 649000, 649008.28, 649009.68, 649014.38, 649022.18, 649029.58, 649037.78, 649040.98, 649044.78, 649048.58, 649052.98, 649056.78, 649060.28, 649065.08, 649072.56, 649074.68, 649079.74, 649083.22, 649080.31, 649082.68, 649097.98, 649105.48, 649114.18, 649154.2, 649121.9, 649109.4, 649102.5, 649097.4, 649000, 648999.25, 648996.31, 648992.76, 292814.68, 292816.82, 292820.48, 292834.98, 292833.98, 
292837.369999999, 292843.58, 292844.779999999, 292846.880000001, 292873.310000001, 292885.630000001, 292888.130000001, 292898.93, 292918.83, 292936.93, 292957.93, 292963.33, 292968.630000001, 292971.73, 292975.83, 292978.83, 292982.23, 292990.33, 293000, 293002.73, 293009.470000001, 293005.289999999, 293002.73, 293000, 292982.33, 292972.630000001, 292960.83, 292909.609999999, 292879.51, 292864.01, 292857.41, 292854.210000001, 292815.16, 292814.800000001, 292814.039999999, 292814.68)))"
1,107,LOC3389161,33108.01184228342,Broads,"list(list(c(648973.211344077, 648938.31596817, 648938.5, 648935.660000001, 648932.550150983, 648931.96, 648926.16, 648917.860000002, 648915.560000001, 648914.660000002, 648913.760000001, 648912.66, 648912.66, 648910.16, 648907.76, 648904.260000001, 648903.460000002, 648902.560000001, 648900.56, 648897.760000001, 648877.260000001, 648873.76, 648869.46, 648861.280000001, 648860.610000002, 648859.68, 648859.54, 648855.460000001, 648851.77, 648850.140000001, 648833.360000001, 648827.859999999, 648824.660000002, 
648805.56, 648799.759999999, 648796.06, 648756.96, 648753.160000001, 648748.260000001, 648731.560000001, 648723.560000001, 648719.36, 648718.359999999, 648717.659999999, 648717.16, 648716.96, 648716.060000001, 648709.360000002, 648708.26, 648707.760000001, 648706.76, 648705.76, 648704.460000001, 648681.370000001, 648677.530000001, 648674.96, 648672.660000001, 648660.259999999, 648653.160000001, 648637.66, 648635.360000001, 648632.38, 648669.56, 648719.36, 648755.360000001, 648804.960000001, 648807.86, 
648809.800000001, 648810.27, 648811.620000001, 648813.22, 648815.950000002, 648818.6, 648820.98, 648825.310000001, 648828.41, 648844.810000001, 648867.71, 648909.210000001, 648912.510000001, 648915.610000001, 648918.210000001, 648928.11, 648934.810000001, 648942.810000001, 648949.109999999, 648957.610000001, 648960.31, 648961.510000002, 648963.710000001, 648965.110000001, 648966.41, 648969.110000001, 648974.01, 648977.01, 648977.810000001, 648978.310000001, 648978.71, 648979.210000002, 648979.35, 
648979.610000001, 648980.610000001, 648983.890000001, 648983.68, 648991.180000001, 648979.331712495, 648977.950766081, 648974.600306009, 648974.545814035, 648974.380000002, 648973.679999999, 648973.58, 648973.58, 648973.679999999, 648973.670000001, 648973.650000001, 648973.632650957, 648973.58, 648973.211344077, 292734.769980682, 292750.192468049, 292750.640000001, 292751.48, 292752.740749605, 292752.980000002, 292754.880000001, 292758.180000002, 292759.080000002, 292759.679999998, 292760.380000001, 
292761.580000002, 292761.780000001, 292764.880000003, 292767.880000001, 292772.679999998, 292773.680000002, 292774.48, 292776.08, 292777.68, 292790.68, 292793.580000002, 292798.48, 292816.73, 292818.520000001, 292820.990000002, 292821.35, 292826.780000001, 292827.199999999, 292826.500000002, 292807.180000002, 292801.680000003, 292797.880000005, 292780.18, 292775.58, 292771.880000005, 292743.98, 292741.479999999, 292737.880000005, 292726.980000002, 292723.380000003, 292721.279999999, 292720.680000003, 
292720.18, 292719.480000002, 292718.980000002, 292717.380000003, 292708.08, 292706.580000004, 292705.980000002, 292705.180000003, 292704.580000002, 292703.780000003, 292694.080000002, 292692.470000003, 292698.480000002, 292703.780000003, 292728.280000001, 292741.779999999, 292772.080000002, 292770.980000002, 292777.220000001, 292802.58, 292836.180000002, 292860.98, 292894.780000001, 292891.68, 292889.689999999, 292889.310000002, 292888.450000001, 292887.210000005, 292885.83, 292884.699999999, 292883.869999999, 
292882.880000001, 292881.98, 292877.180000003, 292871.280000001, 292860.780000001, 292859.779999999, 292858.780000001, 292858.080000002, 292854.779999997, 292852.780000001, 292851.279999999, 292850.280000001, 292848.58, 292847.880000003, 292847.48, 292846.980000002, 292846.480000002, 292845.780000001, 292844.880000005, 292842.98, 292842.48, 292842.48, 292842.580000002, 292842.68, 292842.780000001, 292842.820000002, 292842.98, 292843.58, 292837.369999999, 292833.980000002, 292819.980000004, 292769.291181192, 
292763.379821112, 292749.029928545, 292748.796015151, 292748.080000004, 292745.580000004, 292744.680000002, 292743.280000001, 292741.479999999, 292741.080000002, 292740.369999999, 292739.579379242, 292737.180000002, 292734.769980682)))"
