ClustGroup,ClustPop,F_LOC_ID,OrigArea,Region,geometry
1,3,LOC3399840,24248.318147748025,Somerset,"list(list(c(346748.786419941, 346759.702880839, 346761.13752147, 346762.341300391, 346770.899673814, 346788.148341637, 346793.878659103, 346793.878659103, 346801.909348615, 346822.794088384, 346823.016705034, 346823.024950095, 346823.470183394, 346885.258671286, 346886.157382946, 346886.347019351, 346886.404734779, 346888.50722536, 346890.733391857, 346890.568490635, 346890.749881979, 346896.034966145, 346896.249337734, 346896.364768589, 346897.758183915, 346901.790018794, 346904.222311819, 346907.97381462, 
346911.106937838, 346910.826605761, 346900.19047694, 346899.786468946, 346896.232847612, 346892.885352805, 346890.799352346, 346864.233765478, 346835.161680036, 346813.806971784, 346813.205082324, 346811.935342914, 346808.802219696, 346804.358131762, 346799.139008085, 346788.148341637, 346768.747712866, 346748.506087863, 346748.786419941, 130719.471195831, 130745.133849972, 130749.122708174, 130752.021878295, 130772.046146408, 130813.984141781, 130827.01041305, 130827.030407327, 130847.564529495, 
130898.290009478, 130898.829854949, 130898.849849225, 130898.609917905, 130865.029530191, 130865.419418587, 130864.12978774, 130864.139784878, 130851.123510748, 130836.727631525, 130836.217777469, 130835.358023571, 130790.510860938, 130788.151536288, 130788.111547734, 130773.575708575, 130737.346079199, 130714.602589455, 130680.452364855, 130648.881401949, 130648.741442012, 130652.080486221, 130652.310420403, 130653.690025495, 130654.649750776, 130655.629470335, 130666.406385475, 130677.813120331, 
130686.710573461, 130686.610602078, 130687.130453272, 130688.400089842, 130689.709714966, 130691.789119743, 130697.147585898, 130707.574601196, 130719.191275957, 130719.471195831)))"
1,3,LOC3400722,41090.573311982516,Somerset,"list(list(c(347262.717568494, 347265.727015796, 347269.989712385, 347273.188796093, 347275.917911317, 347279.100504904, 347282.349058976, 347288.310238153, 347294.931022217, 347294.939267279, 347298.707260201, 347300.315047115, 347300.348027362, 347217.625329332, 347176.078466445, 347135.504520766, 347113.226365672, 347112.236958337, 347098.162639039, 347079.570026255, 347070.60764484, 347052.806557922, 347052.809698305, 347088.268565719, 347102.384110322, 347130.029800195, 347166.761547401, 347188.973742006, 
347189.146888291, 347207.896157235, 347234.156676841, 347259.38656381, 347259.650405766, 347259.856532292, 347259.856532292, 347261.225212436, 347261.233457496, 347261.258192681, 347261.258192681, 347261.423093902, 347262.69283331, 347262.717568494, 131381.371728776, 131366.975849552, 131347.071547098, 131331.675954042, 131317.809923153, 131303.34406396, 131288.698256282, 131259.106726767, 131229.695145749, 131229.665154329, 131212.390099267, 131204.592331352, 131204.382391449, 131188.25700729, 131179.559496924, 
131170.961957945, 131165.813431697, 131165.523514684, 131215.029343788, 131279.710828904, 131312.621408351, 131376.163219696, 131376.163584445, 131380.282040695, 131379.552249594, 131382.531396825, 131386.950131975, 131389.219482377, 131389.249473795, 131391.618795581, 131394.537959982, 131397.627075732, 131396.077519286, 131395.137788281, 131395.117794003, 131388.689634046, 131388.669639768, 131388.569668386, 131388.539676972, 131387.709914487, 131381.501691574, 131381.371728776)))"
1,3,LOC3400427,12819.871983957943,Somerset,"list(list(c(347047.059750334, 347059.75714443, 347067.589952476, 347071.630032415, 347077.145978292, 347084.187260472, 347091.756226563, 347098.236844589, 347099.14380131, 347078.621844229, 347051.174035824, 347051.660494428, 347047.983197177, 347047.274121923, 347038.072633734, 347031.047841676, 347030.759264537, 347020.576614077, 347019.62018699, 347019.611941929, 347019.562471562, 347015.3574904, 347012.999402925, 347009.36333098, 347008.959322986, 347027.057232103, 347047.059750334, 130918.304280452, 
130922.603049942, 130881.844716894, 130860.640786456, 130829.949571725, 130792.100405936, 130750.192401977, 130714.612586593, 130709.913931569, 130702.606023436, 130692.308970937, 130691.109314335, 130689.419797954, 130690.909371568, 130687.210430379, 130738.455761555, 130740.595149162, 130814.324044485, 130821.282052776, 130821.312044191, 130821.701932587, 130854.602514893, 130872.697335305, 130900.299434286, 130904.598203776, 130911.196315086, 130918.304280452)))"
1,3,LOC3400593,63504.90113998531,Somerset,"list(list(c(347246.738640081, 347246.771620325, 347286.191257449, 347291.880349609, 347321.043130724, 347351.549856798, 347365.04702182, 347439.409227891, 347496.638196994, 347546.850619099, 347547.419528315, 347560.4797051, 347564.165247412, 347570.497454337, 347570.736561109, 347583.450445327, 347583.227828678, 347583.854453321, 347584.629489065, 347530.954141297, 347530.187350614, 347518.932842211, 347493.900836708, 347476.256405952, 347467.186838741, 347447.728494542, 347444.471695407, 347416.017989547, 
347398.084981652, 347387.88584107, 347362.746649773, 347348.861966879, 347327.292887038, 347323.953637292, 347322.782838616, 347322.749858372, 347322.774593555, 347322.543731844, 347321.818166467, 347321.397668351, 347321.331707862, 347305.971159031, 347294.065290801, 347283.965090952, 347275.975626745, 347272.257104188, 347264.193434432, 347254.711614165, 347247.917683818, 347247.291059174, 347247.18387338, 347246.829335753, 347246.796355508, 347246.738640081, 130989.613868295, 130989.623865433, 
131003.959761826, 131005.899206666, 131015.886347876, 131026.103423269, 131030.582141249, 131056.85462083, 131077.148811678, 131094.593818097, 131094.793760864, 131021.454753936, 131001.900351326, 130965.460782044, 130964.191145474, 130891.082072728, 130891.022089898, 130888.742742355, 130884.324007204, 130864.959550223, 130864.42970189, 130860.120935262, 130850.963556534, 130844.795322173, 130841.396295134, 130834.238344076, 130833.168650273, 130822.991563434, 130816.573400614, 130812.78448518, 
130803.947014879, 130798.378608819, 130790.820772227, 130789.621115625, 130789.191238676, 130789.321201475, 130789.321201475, 130790.030998297, 130792.200377319, 130793.480011028, 130793.440022474, 130833.36859304, 130865.059521606, 130891.561935369, 130912.286003166, 130922.13318444, 130944.156880223, 130968.609880624, 130986.994618048, 130988.524180215, 130988.724122982, 130989.433919805, 130989.513896912, 130989.613868295)))"
1,3,LOC3400176,23511.142016711183,Somerset,"list(list(c(346992.774268044, 346993.071090244, 346993.351422322, 346998.751937343, 347004.243148036, 347010.534129656, 347018.292732152, 347023.256258935, 347030.272805932, 347039.812341626, 347043.687520344, 347050.366019836, 347050.242343919, 347051.701719734, 347052.583941272, 347032.27635578, 347026.941801247, 347022.522448497, 347019.389325279, 347015.736763211, 347012.949932559, 347009.14071433, 347008.984058169, 347002.759037038, 346999.996941569, 346999.799060103, 346983.259467534, 346974.709339172, 
346971.567970892, 346965.367684944, 346965.169803478, 346961.970719771, 346959.373525524, 346958.268687336, 346957.889414526, 346957.666797876, 346957.460671348, 346957.411200982, 346957.633817632, 346955.564307295, 346952.373468649, 346947.533617783, 346945.167285247, 346945.142550063, 346945.19202043, 346934.48168606, 346928.091763706, 346926.508711975, 346927.621795224, 346927.803186568, 346950.419389168, 346982.055688613, 346992.526916211, 346992.774268044, 130656.519215648, 130655.089624864, 
130653.829985432, 130628.987096635, 130601.10507778, 130570.40386591, 130531.155100752, 130505.512440887, 130469.962616919, 130421.356530266, 130402.341973126, 130368.441676985, 130368.301717048, 130361.203748821, 130357.534799047, 130363.273156459, 130364.652761551, 130365.492521172, 130365.792435323, 130365.792435323, 130365.732452493, 130365.092635638, 130365.062644223, 130362.533368221, 130360.943823224, 130360.813860425, 130350.786730661, 130346.927835258, 130345.438261644, 130342.419125863, 
130342.359143033, 130343.788733817, 130363.69303627, 130363.513087779, 130366.092349473, 130367.561928811, 130367.541934534, 130367.891834376, 130367.911828653, 130388.295993746, 130414.408519114, 130455.05688364, 130474.791234741, 130474.791234741, 130475.10114603, 130567.784615663, 130623.768590417, 130632.696034962, 130633.015943389, 130633.275868986, 130641.393545326, 130652.700308798, 130656.419244264, 130656.519215648)))"
1,3,LOC3400291,40452.59603449772,Somerset,"list(list(c(347300.127113658, 347300.125410711, 347284.212442786, 347262.560912333, 347240.068385649, 347235.129594052, 347208.349635595, 347208.275430045, 347187.102113137, 347188.31413712, 347214.772538192, 347215.778435647, 347219.54642857, 347219.595898937, 347231.386336309, 347282.332568853, 347287.436261677, 347307.587191006, 347308.419942177, 347308.518882911, 347309.10428225, 347329.683954758, 347372.75615395, 347393.781059758, 347406.948422336, 347425.953288174, 347428.863794743, 347427.709486189, 
347428.352600955, 347428.9792256, 347426.109944335, 347411.590391736, 347405.414840971, 347396.378254005, 347393.014269075, 347390.713897027, 347386.492425745, 347380.762108279, 347361.905653542, 347355.037517644, 347349.768923601, 347342.035056289, 347338.967893559, 347333.724034698, 347327.243416673, 347319.526039481, 347316.533082303, 347314.158504703, 347303.613071557, 347300.127113658, 130444.292660162, 130444.289965641, 130482.299085643, 130535.413881693, 130591.717764873, 130605.083938845, 
130672.784559743, 130672.964508234, 130727.168992357, 130727.778817799, 130736.946193665, 130737.306090644, 130738.575727219, 130738.655704323, 130743.004459504, 130761.999022366, 130763.598564504, 130771.386335278, 130771.706243705, 130771.74623226, 130771.97616644, 130723.050171364, 130618.010238728, 130565.545256674, 130533.954299489, 130487.357637648, 130480.499600738, 130480.029735235, 130478.650130145, 130477.300516466, 130476.530736813, 130474.271383548, 130473.671555247, 130472.601861445, 
130472.141993079, 130471.832081793, 130471.28223918, 130470.462473836, 130467.983183526, 130467.253392426, 130466.263675731, 130464.64413932, 130464.024316741, 130462.454766018, 130459.945484294, 130455.756683325, 130453.237404458, 130450.978051193, 130449.808386007, 130444.292660162)))"
1,3,LOC3400913,10789.457548145234,Somerset,"list(list(c(346691.994439076, 346713.382127573, 346744.564948657, 346767.172906196, 346767.832511084, 346772.095207673, 346775.525153092, 346777.874995505, 346782.376798867, 346786.730191128, 346787.356815772, 346780.562885424, 346779.367351565, 346775.327271625, 346747.648601509, 346708.665952623, 346706.703628081, 346706.612932409, 346692.357221765, 346691.994439076, 130549.219929749, 130557.477566025, 130569.234200723, 130577.711774043, 130577.941708225, 130547.550407644, 130521.207948095, 130502.653259319, 
130468.852934562, 130436.012335086, 130430.373949057, 130430.363951918, 130430.29397195, 130430.094029183, 130429.44421519, 130427.764695948, 130427.734704533, 130428.96435255, 130548.030270285, 130549.219929749)))"
1,3,LOC3400951,27851.382524792105,Somerset,"list(list(c(346994.019272271, 346994.415035204, 346994.448015448, 346994.472750631, 347048.073892849, 347081.721987203, 347081.829172997, 347081.977584097, 347112.418349683, 347112.434839805, 347119.970825651, 347119.979070712, 347129.040392862, 347145.283163232, 347146.099424281, 347146.833234718, 347149.603575248, 347149.702515982, 347150.246690014, 347150.840334414, 347156.908699384, 347156.908699384, 347162.655506972, 347165.129025302, 347166.662606667, 347165.219720974, 347142.80139984, 347142.364411602, 
347141.102917253, 347123.136929114, 347105.987202024, 347103.728055282, 347099.803406198, 347078.003464647, 347051.883111078, 347052.328344378, 347052.1964234, 347026.521303131, 347026.323421665, 347024.814575483, 347018.845151246, 347013.683742997, 347007.549417538, 347002.486950022, 346994.019272271, 131134.192483097, 131134.302451619, 131134.312448757, 131134.322445896, 131148.518382351, 131157.165907023, 131157.195898438, 131157.225889853, 131164.283869527, 131164.223886697, 131138.431269757, 
131138.391281204, 131106.130515752, 131050.49644084, 131047.637259272, 131044.938031918, 131034.620985142, 131034.261088161, 131032.281654768, 131030.132270023, 131009.348219396, 131009.338222258, 130988.284248895, 130978.457061898, 130972.358807505, 130971.948924833, 130964.101171229, 130965.300827831, 130964.661010976, 130958.422796647, 130952.514487882, 130951.684725399, 130950.485068797, 130942.967220759, 130934.479650301, 130933.439947913, 130933.399959359, 130924.662460442, 130924.582483335, 
130924.01264645, 130965.170865032, 130998.741255608, 131043.008584217, 131078.5883996, 131134.192483097)))"
1,3,LOC3401759,13319.112681784958,Somerset,"list(list(c(346547.598684013, 346547.631664257, 346578.534153264, 346578.550643386, 346597.712165385, 346597.728655507, 346617.36839105, 346617.384881172, 346635.614711267, 346635.622956328, 346641.575890443, 346643.224902663, 346674.754016314, 346677.895384593, 346679.865954197, 346681.119203484, 346695.1687876, 346695.53981535, 346700.536322377, 346701.311358121, 346702.50689198, 346702.869674669, 346693.008581592, 346693.000336531, 346679.14038882, 346679.132143759, 346678.54674442, 346678.62094997, 
346665.090804703, 346642.870365036, 346634.072884841, 346633.825533008, 346633.866758314, 346627.361405105, 346627.130543394, 346626.973887233, 346626.965642172, 346626.883191561, 346626.743025522, 346617.582762639, 346610.244658259, 346552.44677994, 346549.305411661, 346547.598684013, 130595.456694612, 130595.506680304, 130650.63090116, 130650.650895437, 130684.331254534, 130684.351248811, 130718.391504889, 130718.411499166, 130751.392058579, 130751.412052856, 130761.959033814, 130761.069288501, 
130743.684264912, 130741.794805764, 130740.645134854, 130740.025312276, 130731.907635937, 130731.777673138, 130729.178417168, 130728.628574558, 130728.108723364, 130727.958766289, 130710.583739839, 130710.563745562, 130685.640879658, 130685.63088252, 130684.811117175, 130684.811117175, 130660.877967968, 130621.739171332, 130606.233609753, 130605.873712772, 130605.873712772, 130593.797169647, 130593.667206848, 130593.257324176, 130593.247327037, 130593.087372824, 130593.227332761, 130577.041965774, 
130563.465851896, 130592.877432918, 130594.526960746, 130595.456694612)))"
1,3,LOC3401937,27356.933845213032,Somerset,"list(list(c(347057.671143971, 347107.273431555, 347111.527883084, 347114.215773003, 347117.233465366, 347117.612738176, 347121.883679827, 347122.122786599, 347123.10394887, 347139.709501927, 347149.735496226, 347149.801456715, 347160.280929374, 347177.99132062, 347187.407180397, 347187.555591497, 347187.712247658, 347197.894898118, 347196.921980908, 347196.979696335, 347198.043309217, 347201.687626224, 347201.704116346, 347232.886937431, 347232.944652858, 347232.961142981, 347235.929364977, 347231.68315851, 
347224.138927602, 347217.699534882, 347210.006892875, 347203.806606927, 347198.58748325, 347192.312991752, 347187.011417464, 347179.607352595, 347173.407066647, 347170.513050201, 347167.80867016, 347164.906408652, 347161.113680546, 347157.906351777, 347154.806208803, 347149.61182031, 347141.910933241, 347141.020466642, 347138.852015573, 347131.818978453, 347129.048637923, 347117.79412952, 347107.949526566, 347102.697422644, 347097.659690312, 347086.891640513, 347076.791440665, 347058.41319947, 347058.33899392, 
347057.671143971, 130680.342396333, 130698.537188128, 130700.246698786, 130701.116449822, 130701.716278123, 130701.896226613, 130703.895654283, 130703.985628528, 130704.21556271, 130655.249579077, 130625.108206955, 130625.148195509, 130593.687201125, 130537.693229232, 130508.28164821, 130507.511868557, 130507.671822771, 130475.910914236, 130475.46104301, 130475.291091659, 130475.680980054, 130464.674130732, 130464.604150764, 130382.347696429, 130382.197739353, 130382.147753662, 130373.990088769, 
130373.760154587, 130373.710168895, 130373.460240436, 130373.600200373, 130373.450243298, 130374.180034398, 130373.080349179, 130371.580778427, 130369.181465223, 130367.681894471, 130366.582209252, 130365.282581267, 130364.182896049, 130363.483096364, 130362.683325296, 130361.383697311, 130360.084069326, 130359.084355491, 130358.864418447, 130367.152046138, 130390.385395661, 130401.962081869, 130446.979195854, 130486.837786452, 130507.391902897, 130527.646105192, 130567.934572738, 130607.033380821, 
130678.712862782, 130678.892811273, 130680.342396333)))"
